Comunidades y Ciudades Autónomas	Naturaleza de la finca	Número e importe	Periodo	Total
01 Andalucía	Viviendas	Importe de hipotecas	2016	5.107.002
01 Andalucía	Viviendas	Importe de hipotecas	2015	4.183.168
01 Andalucía	Viviendas	Importe de hipotecas	2014	3.343.197
01 Andalucía	Viviendas	Importe de hipotecas	2013	3.259.426
01 Andalucía	Viviendas	Importe de hipotecas	2012	4.777.420
01 Andalucía	Viviendas	Importe de hipotecas	2011	7.598.486
01 Andalucía	Viviendas	Importe de hipotecas	2010	10.864.817
01 Andalucía	Viviendas	Importe de hipotecas	2009	12.375.618
01 Andalucía	Viviendas	Importe de hipotecas	2008	20.453.844
01 Andalucía	Viviendas	Importe de hipotecas	2007	34.849.448
01 Andalucía	Viviendas	Importe de hipotecas	2006	33.986.457
01 Andalucía	Viviendas	Importe de hipotecas	2005	26.575.406
01 Andalucía	Viviendas	Importe de hipotecas	2004	19.136.054
01 Andalucía	Viviendas	Importe de hipotecas	2003	14.892.982
01 Andalucía	Solares	Número de hipotecas	2025	1.293
01 Andalucía	Solares	Número de hipotecas	2024	961
01 Andalucía	Solares	Número de hipotecas	2023	1.597
01 Andalucía	Solares	Número de hipotecas	2022	2.055
01 Andalucía	Solares	Número de hipotecas	2021	2.151
01 Andalucía	Solares	Número de hipotecas	2020	1.498
01 Andalucía	Solares	Número de hipotecas	2019	1.696
01 Andalucía	Solares	Número de hipotecas	2018	2.051
01 Andalucía	Solares	Número de hipotecas	2017	1.634
01 Andalucía	Solares	Número de hipotecas	2016	1.762
01 Andalucía	Solares	Número de hipotecas	2015	2.124
01 Andalucía	Solares	Número de hipotecas	2014	1.913
01 Andalucía	Solares	Número de hipotecas	2013	3.011
01 Andalucía	Solares	Número de hipotecas	2012	5.099
01 Andalucía	Solares	Número de hipotecas	2011	6.488
01 Andalucía	Solares	Número de hipotecas	2010	8.880
01 Andalucía	Solares	Número de hipotecas	2009	13.226
01 Andalucía	Solares	Número de hipotecas	2008	13.645
01 Andalucía	Solares	Número de hipotecas	2007	13.980
01 Andalucía	Solares	Número de hipotecas	2006	10.853
01 Andalucía	Solares	Número de hipotecas	2005	7.740
01 Andalucía	Solares	Número de hipotecas	2004	6.703
01 Andalucía	Solares	Número de hipotecas	2003	8.515
01 Andalucía	Solares	Importe de hipotecas	2025	1.083.593
01 Andalucía	Solares	Importe de hipotecas	2024	636.159
01 Andalucía	Solares	Importe de hipotecas	2023	699.429
01 Andalucía	Solares	Importe de hipotecas	2022	784.655
01 Andalucía	Solares	Importe de hipotecas	2021	747.358
01 Andalucía	Solares	Importe de hipotecas	2020	544.218
01 Andalucía	Solares	Importe de hipotecas	2019	850.244
01 Andalucía	Solares	Importe de hipotecas	2018	858.410
01 Andalucía	Solares	Importe de hipotecas	2017	686.413
01 Andalucía	Solares	Importe de hipotecas	2016	553.628
01 Andalucía	Solares	Importe de hipotecas	2015	530.303
01 Andalucía	Solares	Importe de hipotecas	2014	584.890
01 Andalucía	Solares	Importe de hipotecas	2013	712.627
01 Andalucía	Solares	Importe de hipotecas	2012	1.012.807
01 Andalucía	Solares	Importe de hipotecas	2011	1.426.903
01 Andalucía	Solares	Importe de hipotecas	2010	2.545.684
01 Andalucía	Solares	Importe de hipotecas	2009	3.681.172
01 Andalucía	Solares	Importe de hipotecas	2008	4.964.273
01 Andalucía	Solares	Importe de hipotecas	2007	6.457.607
01 Andalucía	Solares	Importe de hipotecas	2006	4.632.359
01 Andalucía	Solares	Importe de hipotecas	2005	3.181.307
01 Andalucía	Solares	Importe de hipotecas	2004	2.350.797
01 Andalucía	Solares	Importe de hipotecas	2003	2.472.483
01 Andalucía	Otros	Número de hipotecas	2025	20.785
01 Andalucía	Otros	Número de hipotecas	2024	18.203
01 Andalucía	Otros	Número de hipotecas	2023	17.140
01 Andalucía	Otros	Número de hipotecas	2022	19.389
01 Andalucía	Otros	Número de hipotecas	2021	20.726
01 Andalucía	Otros	Número de hipotecas	2020	16.849
01 Andalucía	Otros	Número de hipotecas	2019	19.039
01 Andalucía	Otros	Número de hipotecas	2018	17.742
01 Andalucía	Otros	Número de hipotecas	2017	14.837
01 Andalucía	Otros	Número de hipotecas	2016	15.749
01 Andalucía	Otros	Número de hipotecas	2015	14.905
01 Andalucía	Otros	Número de hipotecas	2014	14.404
01 Andalucía	Otros	Número de hipotecas	2013	15.726
01 Andalucía	Otros	Número de hipotecas	2012	24.887
01 Andalucía	Otros	Número de hipotecas	2011	35.263
01 Andalucía	Otros	Número de hipotecas	2010	40.931
01 Andalucía	Otros	Número de hipotecas	2009	56.300
01 Andalucía	Otros	Número de hipotecas	2008	61.485
01 Andalucía	Otros	Número de hipotecas	2007	89.160
01 Andalucía	Otros	Número de hipotecas	2006	109.610
01 Andalucía	Otros	Número de hipotecas	2005	121.416
01 Andalucía	Otros	Número de hipotecas	2004	115.789
01 Andalucía	Otros	Número de hipotecas	2003	57.872
01 Andalucía	Otros	Importe de hipotecas	2025	4.689.514
01 Andalucía	Otros	Importe de hipotecas	2024	3.956.873
01 Andalucía	Otros	Importe de hipotecas	2023	3.857.273
01 Andalucía	Otros	Importe de hipotecas	2022	3.373.850
01 Andalucía	Otros	Importe de hipotecas	2021	2.540.750
01 Andalucía	Otros	Importe de hipotecas	2020	2.652.746
01 Andalucía	Otros	Importe de hipotecas	2019	3.080.097
01 Andalucía	Otros	Importe de hipotecas	2018	2.624.854
