Municipio;Tipo de dato;Periodo;Total
03018 Altea;Variación anual;2013;-1,1
03018 Altea;Variación anual;2012;-1,3
03018 Altea;Variación anual;2011;..
03019 Aspe;Índice;2023;120,513
03019 Aspe;Índice;2022;117,741
03019 Aspe;Índice;2021;114,817
03019 Aspe;Índice;2020;112,689
03019 Aspe;Índice;2019;111,506
03019 Aspe;Índice;2018;108,729
03019 Aspe;Índice;2017;104,202
03019 Aspe;Índice;2016;103,101
03019 Aspe;Índice;2015;100
03019 Aspe;Índice;2014;101,887
03019 Aspe;Índice;2013;97,054
03019 Aspe;Índice;2012;99,397
03019 Aspe;Índice;2011;99,434
03019 Aspe;Variación anual;2023;2,4
03019 Aspe;Variación anual;2022;2,5
03019 Aspe;Variación anual;2021;1,9
03019 Aspe;Variación anual;2020;1,1
03019 Aspe;Variación anual;2019;2,6
03019 Aspe;Variación anual;2018;4,3
03019 Aspe;Variación anual;2017;1,1
03019 Aspe;Variación anual;2016;3,1
03019 Aspe;Variación anual;2015;-1,9
03019 Aspe;Variación anual;2014;5
03019 Aspe;Variación anual;2013;-2,4
03019 Aspe;Variación anual;2012;0
03019 Aspe;Variación anual;2011;..
03031 Benidorm;Índice;2023;115,401
03031 Benidorm;Índice;2022;111,838
03031 Benidorm;Índice;2021;107,99
03031 Benidorm;Índice;2020;106,761
03031 Benidorm;Índice;2019;107,932
03031 Benidorm;Índice;2018;105,187
03031 Benidorm;Índice;2017;103,163
03031 Benidorm;Índice;2016;101,839
03031 Benidorm;Índice;2015;100
03031 Benidorm;Índice;2014;100,228
03031 Benidorm;Índice;2013;99,447
03031 Benidorm;Índice;2012;100,921
03031 Benidorm;Índice;2011;102,703
03031 Benidorm;Variación anual;2023;3,2
03031 Benidorm;Variación anual;2022;3,6
03031 Benidorm;Variación anual;2021;1,2
03031 Benidorm;Variación anual;2020;-1,1
03031 Benidorm;Variación anual;2019;2,6
03031 Benidorm;Variación anual;2018;2
03031 Benidorm;Variación anual;2017;1,3
03031 Benidorm;Variación anual;2016;1,8
03031 Benidorm;Variación anual;2015;-0,2
03031 Benidorm;Variación anual;2014;0,8
03031 Benidorm;Variación anual;2013;-1,5
03031 Benidorm;Variación anual;2012;-1,7
03031 Benidorm;Variación anual;2011;..
03041 Benissa;Índice;2023;117,482
03041 Benissa;Índice;2022;113,731
03041 Benissa;Índice;2021;109,906
03041 Benissa;Índice;2020;108,689
03041 Benissa;Índice;2019;106,825
03041 Benissa;Índice;2018;104,22
03041 Benissa;Índice;2017;103,648
03041 Benissa;Índice;2016;99,996
03041 Benissa;Índice;2015;100
03041 Benissa;Índice;2014;100,02
03041 Benissa;Índice;2013;98,469
03041 Benissa;Índice;2012;103,454
03041 Benissa;Índice;2011;99,341
03041 Benissa;Variación anual;2023;3,3
03041 Benissa;Variación anual;2022;3,5
03041 Benissa;Variación anual;2021;1,1
03041 Benissa;Variación anual;2020;1,7
03041 Benissa;Variación anual;2019;2,5
03041 Benissa;Variación anual;2018;0,6
03041 Benissa;Variación anual;2017;3,7
03041 Benissa;Variación anual;2016;0
03041 Benissa;Variación anual;2015;0
03041 Benissa;Variación anual;2014;1,6
03041 Benissa;Variación anual;2013;-4,8
03041 Benissa;Variación anual;2012;4,1
03041 Benissa;Variación anual;2011;..
03047 Calp;Índice;2023;117,431
03047 Calp;Índice;2022;113,843
03047 Calp;Índice;2021;110,638
03047 Calp;Índice;2020;108,392
03047 Calp;Índice;2019;108,123
03047 Calp;Índice;2018;105,051
03047 Calp;Índice;2017;103,924
03047 Calp;Índice;2016;102,41
03047 Calp;Índice;2015;100
03047 Calp;Índice;2014;97,887
03047 Calp;Índice;2013;97,858
03047 Calp;Índice;2012;98,597
03047 Calp;Índice;2011;99,446
03047 Calp;Variación anual;2023;3,2
03047 Calp;Variación anual;2022;2,9
03047 Calp;Variación anual;2021;2,1
03047 Calp;Variación anual;2020;0,2
03047 Calp;Variación anual;2019;2,9
03047 Calp;Variación anual;2018;1,1
03047 Calp;Variación anual;2017;1,5
03047 Calp;Variación anual;2016;2,4
03047 Calp;Variación anual;2015;2,2
03047 Calp;Variación anual;2014;0
03047 Calp;Variación anual;2013;-0,7
03047 Calp;Variación anual;2012;-0,9
03047 Calp;Variación anual;2011;..
03049 Callosa de Segura;Índice;2023;116,367
03049 Callosa de Segura;Índice;2022;113,107
03049 Callosa de Segura;Índice;2021;111,092
03049 Callosa de Segura;Índice;2020;109,332
03049 Callosa de Segura;Índice;2019;107,104
03049 Callosa de Segura;Índice;2018;104,396
03049 Callosa de Segura;Índice;2017;104,439
03049 Callosa de Segura;Índice;2016;102,389
03049 Callosa de Segura;Índice;2015;100
03049 Callosa de Segura;Índice;2014;98,465
03049 Callosa de Segura;Índice;2013;97,662
03049 Callosa de Segura;Índice;2012;106,671
03049 Callosa de Segura;Índice;2011;110,458
03049 Callosa de Segura;Variación anual;2023;2,9
03049 Callosa de Segura;Variación anual;2022;1,8
03049 Callosa de Segura;Variación anual;2021;1,6
03049 Callosa de Segura;Variación anual;2020;2,1
03049 Callosa de Segura;Variación anual;2019;2,6
03049 Callosa de Segura;Variación anual;2018;0
03049 Callosa de Segura;Variación anual;2017;2
03049 Callosa de Segura;Variación anual;2016;2,4
03049 Callosa de Segura;Variación anual;2015;1,6
03049 Callosa de Segura;Variación anual;2014;0,8
03049 Callosa de Segura;Variación anual;2013;-8,4
03049 Callosa de Segura;Variación anual;2012;-3,4
03049 Callosa de Segura;Variación anual;2011;..
03050 Campello, el;Índice;2023;120,972
03050 Campello, el;Índice;2022;117,139
03050 Campello, el;Índice;2021;113,232
03050 Campello, el;Índice;2020;110,141
03050 Campello, el;Índice;2019;109,476
03050 Campello, el;Índice;2018;104,576
03050 Campello, el;Índice;2017;103,758
03050 Campello, el;Índice;2016;101,996
03050 Campello, el;Índice;2015;100
03050 Campello, el;Índice;2014;99,332
03050 Campello, el;Índice;2013;101,829
03050 Campello, el;Índice;2012;103,53
03050 Campello, el;Índice;2011;104,74
03050 Campello, el;Variación anual;2023;3,3
03050 Campello, el;Variación anual;2022;3,5
03050 Campello, el;Variación anual;2021;2,8
03050 Campello, el;Variación anual;2020;0,6
03050 Campello, el;Variación anual;2019;4,7
03050 Campello, el;Variación anual;2018;0,8
03050 Campello, el;Variación anual;2017;1,7
03050 Campello, el;Variación anual;2016;2
03050 Campello, el;Variación anual;2015;0,7
03050 Campello, el;Variación anual;2014;-2,5
03050 Campello, el;Variación anual;2013;-1,6
03050 Campello, el;Variación anual;2012;-1,2
03050 Campello, el;Variación anual;2011;..
03053 Castalla;Índice;2023;120,936
03053 Castalla;Índice;2022;115,795
03053 Castalla;Índice;2021;111,405
03053 Castalla;Índice;2020;108,236
03053 Castalla;Índice;2019;107,875
03053 Castalla;Índice;2018;104,631
03053 Castalla;Índice;2017;101,223
03053 Castalla;Índice;2016;102,442
03053 Castalla;Índice;2015;100
03053 Castalla;Índice;2014;104,951
03053 Castalla;Índice;2013;105,085
03053 Castalla;Índice;2012;108,093
03053 Castalla;Índice;2011;109,524
03053 Castalla;Variación anual;2023;4,4
03053 Castalla;Variación anual;2022;3,9
03053 Castalla;Variación anual;2021;2,9
03053 Castalla;Variación anual;2020;0,3
03053 Castalla;Variación anual;2019;3,1
03053 Castalla;Variación anual;2018;3,4
03053 Castalla;Variación anual;2017;-1,2
03053 Castalla;Variación anual;2016;2,4
03053 Castalla;Variación anual;2015;-4,7
03053 Castalla;Variación anual;2014;-0,1
03053 Castalla;Variación anual;2013;-2,8
03053 Castalla;Variación anual;2012;-1,3
03053 Castalla;Variación anual;2011;..
03056 Cocentaina;Índice;2023;113,778
03056 Cocentaina;Índice;2022;112,719
03056 Cocentaina;Índice;2021;110,702
03056 Cocentaina;Índice;2020;109,997
03056 Cocentaina;Índice;2019;108,48
03056 Cocentaina;Índice;2018;107,934
03056 Cocentaina;Índice;2017;105,129
03056 Cocentaina;Índice;2016;103,654
03056 Cocentaina;Índice;2015;100
03056 Cocentaina;Índice;2014;97,073
03056 Cocentaina;Índice;2013;99,073
