Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Tamaño del hogar;Periodo;Total
Total Nacional;Andalucía;Jaén;3 personas;2036;44.489
Total Nacional;Andalucía;Jaén;3 personas;2035;44.980
Total Nacional;Andalucía;Jaén;3 personas;2034;45.462
Total Nacional;Andalucía;Jaén;3 personas;2033;45.950
Total Nacional;Andalucía;Jaén;3 personas;2032;46.423
Total Nacional;Andalucía;Jaén;3 personas;2031;46.858
Total Nacional;Andalucía;Jaén;3 personas;2030;47.272
Total Nacional;Andalucía;Jaén;3 personas;2029;47.684
Total Nacional;Andalucía;Jaén;3 personas;2028;48.079
Total Nacional;Andalucía;Jaén;3 personas;2027;48.442
Total Nacional;Andalucía;Jaén;3 personas;2026;48.749
Total Nacional;Andalucía;Jaén;3 personas;2025;49.068
Total Nacional;Andalucía;Jaén;3 personas;2024;49.378
Total Nacional;Andalucía;Jaén;4 personas o más;2039;39.671
Total Nacional;Andalucía;Jaén;4 personas o más;2038;40.641
Total Nacional;Andalucía;Jaén;4 personas o más;2037;41.648
Total Nacional;Andalucía;Jaén;4 personas o más;2036;42.727
Total Nacional;Andalucía;Jaén;4 personas o más;2035;43.843
Total Nacional;Andalucía;Jaén;4 personas o más;2034;44.984
Total Nacional;Andalucía;Jaén;4 personas o más;2033;46.147
Total Nacional;Andalucía;Jaén;4 personas o más;2032;47.375
Total Nacional;Andalucía;Jaén;4 personas o más;2031;48.624
Total Nacional;Andalucía;Jaén;4 personas o más;2030;49.906
Total Nacional;Andalucía;Jaén;4 personas o más;2029;51.227
Total Nacional;Andalucía;Jaén;4 personas o más;2028;52.600
Total Nacional;Andalucía;Jaén;4 personas o más;2027;53.978
Total Nacional;Andalucía;Jaén;4 personas o más;2026;55.321
Total Nacional;Andalucía;Jaén;4 personas o más;2025;56.717
Total Nacional;Andalucía;Jaén;4 personas o más;2024;58.173
Total Nacional;Andalucía;Jaén;Tamaño medio;2039;2,16
Total Nacional;Andalucía;Jaén;Tamaño medio;2038;2,17
Total Nacional;Andalucía;Jaén;Tamaño medio;2037;2,19
Total Nacional;Andalucía;Jaén;Tamaño medio;2036;2,21
Total Nacional;Andalucía;Jaén;Tamaño medio;2035;2,22
Total Nacional;Andalucía;Jaén;Tamaño medio;2034;2,24
Total Nacional;Andalucía;Jaén;Tamaño medio;2033;2,26
Total Nacional;Andalucía;Jaén;Tamaño medio;2032;2,28
Total Nacional;Andalucía;Jaén;Tamaño medio;2031;2,3
Total Nacional;Andalucía;Jaén;Tamaño medio;2030;2,32
Total Nacional;Andalucía;Jaén;Tamaño medio;2029;2,34
Total Nacional;Andalucía;Jaén;Tamaño medio;2028;2,36
Total Nacional;Andalucía;Jaén;Tamaño medio;2027;2,39
Total Nacional;Andalucía;Jaén;Tamaño medio;2026;2,41
Total Nacional;Andalucía;Jaén;Tamaño medio;2025;2,43
Total Nacional;Andalucía;Jaén;Tamaño medio;2024;2,46
Total Nacional;Andalucía;Almería;Total;2039;388.496
Total Nacional;Andalucía;Almería;Total;2038;383.658
Total Nacional;Andalucía;Almería;Total;2037;378.731
Total Nacional;Andalucía;Almería;Total;2036;373.730
Total Nacional;Andalucía;Almería;Total;2035;368.657
Total Nacional;Andalucía;Almería;Total;2034;363.494
Total Nacional;Andalucía;Almería;Total;2033;358.176
Total Nacional;Andalucía;Almería;Total;2032;352.584
Total Nacional;Andalucía;Almería;Total;2031;346.662
Total Nacional;Andalucía;Almería;Total;2030;340.318
Total Nacional;Andalucía;Almería;Total;2029;333.451
Total Nacional;Andalucía;Almería;Total;2028;325.916
Total Nacional;Andalucía;Almería;Total;2027;317.844
Total Nacional;Andalucía;Almería;Total;2026;309.237
Total Nacional;Andalucía;Almería;Total;2025;300.305
Total Nacional;Andalucía;Almería;Total;2024;291.239
Total Nacional;Andalucía;Almería;1 persona;2039;123.442
Total Nacional;Andalucía;Almería;1 persona;2038;120.874
Total Nacional;Andalucía;Almería;1 persona;2037;118.267
Total Nacional;Andalucía;Almería;1 persona;2036;115.681
Total Nacional;Andalucía;Almería;1 persona;2035;113.077
Total Nacional;Andalucía;Almería;1 persona;2034;110.483
Total Nacional;Andalucía;Almería;1 persona;2033;107.855
Total Nacional;Andalucía;Almería;1 persona;2032;105.144
Total Nacional;Andalucía;Almería;1 persona;2031;102.360
Total Nacional;Andalucía;Almería;1 persona;2030;99.486
Total Nacional;Andalucía;Almería;1 persona;2029;96.480
