País de nacimiento;Nacionalidad;Periodo;Total
Bulgaria;Extranjero;2022S1;1.582
Bulgaria;Extranjero;2021S2;1.652
Bulgaria;Extranjero;2021S1;1.378
Bulgaria;Extranjero;2020S2;1.771
Bulgaria;Extranjero;2020S1;1.524
Bulgaria;Extranjero;2019S2;2.692
Bulgaria;Extranjero;2019S1;2.799
Bulgaria;Extranjero;2018S2;2.697
Bulgaria;Extranjero;2018S1;2.585
Bulgaria;Extranjero;2017S2;3.005
Bulgaria;Extranjero;2017S1;2.878
Bulgaria;Extranjero;2016S2;2.524
Bulgaria;Extranjero;2016S1;2.452
Bulgaria;Extranjero;2015S2;2.480
Bulgaria;Extranjero;2015S1;2.293
Bulgaria;Extranjero;2014S2;2.518
Bulgaria;Extranjero;2014S1;2.068
Bulgaria;Extranjero;2013S2;2.610
Bulgaria;Extranjero;2013S1;2.186
Bulgaria;Extranjero;2012S2;2.861
Bulgaria;Extranjero;2012S1;3.222
Bulgaria;Extranjero;2011S2;5.429
Bulgaria;Extranjero;2011S1;4.342
Bulgaria;Extranjero;2010S2;4.751
Bulgaria;Extranjero;2010S1;3.564
Bulgaria;Extranjero;2009S2;4.335
Bulgaria;Extranjero;2009S1;3.290
Bulgaria;Extranjero;2008S2;4.631
Bulgaria;Extranjero;2008S1;6.090
Dinamarca;Total;2022S1;442
Dinamarca;Total;2021S2;499
Dinamarca;Total;2021S1;326
Dinamarca;Total;2020S2;324
Dinamarca;Total;2020S1;241
Dinamarca;Total;2019S2;451
Dinamarca;Total;2019S1;412
Dinamarca;Total;2018S2;443
Dinamarca;Total;2018S1;430
Dinamarca;Total;2017S2;423
Dinamarca;Total;2017S1;387
Dinamarca;Total;2016S2;381
Dinamarca;Total;2016S1;313
Dinamarca;Total;2015S2;382
Dinamarca;Total;2015S1;292
Dinamarca;Total;2014S2;380
Dinamarca;Total;2014S1;299
Dinamarca;Total;2013S2;336
Dinamarca;Total;2013S1;317
Dinamarca;Total;2012S2;411
Dinamarca;Total;2012S1;315
Dinamarca;Total;2011S2;330
Dinamarca;Total;2011S1;299
Dinamarca;Total;2010S2;320
Dinamarca;Total;2010S1;287
Dinamarca;Total;2009S2;312
Dinamarca;Total;2009S1;260
Dinamarca;Total;2008S2;364
Dinamarca;Total;2008S1;335
Dinamarca;Española;2022S1;7
Dinamarca;Española;2021S2;22
Dinamarca;Española;2021S1;11
Dinamarca;Española;2020S2;17
Dinamarca;Española;2020S1;7
Dinamarca;Española;2019S2;18
Dinamarca;Española;2019S1;15
Dinamarca;Española;2018S2;15
Dinamarca;Española;2018S1;17
Dinamarca;Española;2017S2;14
Dinamarca;Española;2017S1;11
Dinamarca;Española;2016S2;22
Dinamarca;Española;2016S1;9
Dinamarca;Española;2015S2;13
Dinamarca;Española;2015S1;10
Dinamarca;Española;2014S2;8
Dinamarca;Española;2014S1;5
Dinamarca;Española;2013S2;12
Dinamarca;Española;2013S1;4
Dinamarca;Española;2012S2;6
Dinamarca;Española;2012S1;9
Dinamarca;Española;2011S2;5
Dinamarca;Española;2011S1;4
Dinamarca;Española;2010S2;9
Dinamarca;Española;2010S1;3
Dinamarca;Española;2009S2;7
Dinamarca;Española;2009S1;11
Dinamarca;Española;2008S2;11
Dinamarca;Española;2008S1;2
Dinamarca;Extranjero;2022S1;435
Dinamarca;Extranjero;2021S2;477
Dinamarca;Extranjero;2021S1;315
Dinamarca;Extranjero;2020S2;307
Dinamarca;Extranjero;2020S1;234
Dinamarca;Extranjero;2019S2;433
Dinamarca;Extranjero;2019S1;397
Dinamarca;Extranjero;2018S2;428
Dinamarca;Extranjero;2018S1;413
Dinamarca;Extranjero;2017S2;409
Dinamarca;Extranjero;2017S1;376
Dinamarca;Extranjero;2016S2;359
Dinamarca;Extranjero;2016S1;304
Dinamarca;Extranjero;2015S2;369
Dinamarca;Extranjero;2015S1;282
Dinamarca;Extranjero;2014S2;372
Dinamarca;Extranjero;2014S1;293
Dinamarca;Extranjero;2013S2;324
Dinamarca;Extranjero;2013S1;313
Dinamarca;Extranjero;2012S2;405
Dinamarca;Extranjero;2012S1;305
Dinamarca;Extranjero;2011S2;325
Dinamarca;Extranjero;2011S1;295
Dinamarca;Extranjero;2010S2;311
Dinamarca;Extranjero;2010S1;284
Dinamarca;Extranjero;2009S2;305
Dinamarca;Extranjero;2009S1;249
Dinamarca;Extranjero;2008S2;353
Dinamarca;Extranjero;2008S1;333
Finlandia;Total;2022S1;529
